"","p","variable","value"
"167",0.68,"axact",0.95
"168",0.69,"axact",0.953
"169",0.7,"axact",0.961
"170",0.71,"axact",0.953
"171",0.72,"axact",0.963
"172",0.73,"axact",0.959
"173",0.74,"axact",0.962
"174",0.75,"axact",0.961
"175",0.76,"axact",0.962
"176",0.77,"axact",0.96
"177",0.78,"axact",0.959
"178",0.79,"axact",0.969
"179",0.8,"axact",0.978
"180",0.81,"axact",0.96
"181",0.82,"axact",0.964
"182",0.83,"axact",0.979
"183",0.84,"axact",0.956
"184",0.85,"axact",0.958
"185",0.86,"axact",0.95
"186",0.87,"axact",0.963
"187",0.88,"axact",0.97
"188",0.89,"axact",0.974
"189",0.9,"axact",0.951
"190",0.91,"axact",0.971
"191",0.92,"axact",0.979
"192",0.93,"axact",0.966
"193",0.94,"axact",0.978
"194",0.95,"axact",0.98
"195",0.96,"axact",0.962
"196",0.97,"axact",0.988
"197",0.98,"axact",0.982
"198",0.99,"axact",0.974
"199",0.01,"asymp",0.659
"200",0.02,"asymp",0.866
"201",0.03,"asymp",0.791
"202",0.04,"asymp",0.893
"203",0.05,"asymp",0.883
"204",0.06,"asymp",0.932
"205",0.07,"asymp",0.903
"206",0.08,"asymp",0.893
"207",0.09,"asymp",0.947
"208",0.1,"asymp",0.94
"209",0.11,"asymp",0.917
"210",0.12,"asymp",0.939
"211",0.13,"asymp",0.932
"212",0.14,"asymp",0.939
"213",0.15,"asymp",0.932
"214",0.16,"asymp",0.922
"215",0.17,"asymp",0.95
"216",0.18,"asymp",0.955
"217",0.19,"asymp",0.941
"218",0.2,"asymp",0.932
"219",0.21,"asymp",0.936
"220",0.22,"asymp",0.931
"221",0.23,"asymp",0.943
"222",0.24,"asymp",0.953
"223",0.25,"asymp",0.947
"224",0.26,"asymp",0.95
"225",0.27,"asymp",0.938
"226",0.28,"asymp",0.943
"227",0.29,"asymp",0.941
"228",0.3,"asymp",0.948
"229",0.31,"asymp",0.941
"230",0.32,"asymp",0.948
"231",0.33,"asymp",0.959
"232",0.34,"asymp",0.945
"233",0.35,"asymp",0.941
"234",0.36,"asymp",0.95
"235",0.37,"asymp",0.939
"236",0.38,"asymp",0.928
"237",0.39,"asymp",0.933
"238",0.4,"asymp",0.949
"239",0.41,"asymp",0.947
"240",0.42,"asymp",0.955
"241",0.43,"asymp",0.953
"242",0.44,"asymp",0.953
"243",0.45,"asymp",0.944
"244",0.46,"asymp",0.938
"245",0.47,"asymp",0.943
"246",0.48,"asymp",0.945
"247",0.49,"asymp",0.95
"248",0.5,"asymp",0.946
"249",0.51,"asymp",0.95
"250",0.52,"asymp",0.937
"251",0.53,"asymp",0.937
"252",0.54,"asymp",0.946
"253",0.55,"asymp",0.935
"254",0.56,"asymp",0.944
"255",0.57,"asymp",0.935
"256",0.58,"asymp",0.95
"257",0.59,"asymp",0.936
"258",0.6,"asymp",0.956
"259",0.61,"asymp",0.932
"260",0.62,"asymp",0.934
"261",0.63,"asymp",0.935
"262",0.64,"asymp",0.942
"263",0.65,"asymp",0.942
"264",0.66,"asymp",0.928
"265",0.67,"asymp",0.954
"266",0.68,"asymp",0.938
"267",0.69,"asymp",0.941
"268",0.7,"asymp",0.946
"269",0.71,"asymp",0.911
"270",0.72,"asymp",0.931
"271",0.73,"asymp",0.94
"272",0.74,"asymp",0.95
"273",0.75,"asymp",0.943
"274",0.76,"asymp",0.944
"275",0.77,"asymp",0.952
"276",0.78,"asymp",0.929
"277",0.79,"asymp",0.926
"278",0.8,"asymp",0.956
"279",0.81,"asymp",0.941
"280",0.82,"asymp",0.941
"281",0.83,"asymp",0.967
"282",0.84,"asymp",0.927
"283",0.85,"asymp",0.933
"284",0.86,"asymp",0.937
"285",0.87,"asymp",0.94
"286",0.88,"asymp",0.949
"287",0.89,"asymp",0.928
"288",0.9,"asymp",0.935
"289",0.91,"asymp",0.938
"290",0.92,"asymp",0.905
"291",0.93,"asymp",0.905
"292",0.94,"asymp",0.949
"293",0.95,"asymp",0.882
"294",0.96,"asymp",0.903
"295",0.97,"asymp",0.802
"296",0.98,"asymp",0.875
"297",0.99,"asymp",0.629
