"V1","V2","V3","V4","V5","V6"
0.919,0.98,0.607,0.0505213238939635,0.051730686949593,0.0289354106217195
0.956,0.986,0.872,0.0626459031392321,0.0655904301094975,0.0494298725735163
0.96,0.985,0.816,0.07305767093166,0.0772986874871346,0.0638064511007426
0.94,0.966,0.903,0.0815498164250252,0.0867181640319381,0.074662269641044
0.968,0.983,0.864,0.0875671981401832,0.0933151386783356,0.0818167799696725
0.95,0.978,0.948,0.0953812015358433,0.101818193234933,0.0909434399297933
0.975,0.975,0.921,0.101007153619383,0.107870728428936,0.0973315441468418
0.955,0.968,0.893,0.107498320103797,0.114787843217952,0.104592828947687
0.937,0.953,0.929,0.112101624010626,0.119683933245158,0.109705319080115
0.938,0.955,0.935,0.117523638137989,0.125440973105574,0.11570707594981
0.964,0.964,0.914,0.122231842266036,0.130418197485129,0.120880065924043
0.963,0.976,0.948,0.12684643493904,0.135271745054683,0.12590873804833
0.954,0.971,0.951,0.130487799863689,0.139098986489463,0.129872563474097
0.944,0.964,0.946,0.135332947124419,0.144174823817775,0.135119721948101
0.947,0.978,0.941,0.138569007939645,0.147561218875031,0.138618162136746
0.965,0.965,0.904,0.141343561426554,0.150457947020789,0.141606845741631
0.964,0.973,0.95,0.145677042574959,0.154982523064479,0.146275244442597
0.951,0.963,0.944,0.148860060418788,0.158299125271898,0.149693384821891
0.955,0.968,0.945,0.151359493227047,0.160903243500835,0.152377123877863
0.935,0.96,0.924,0.153834539624815,0.16347672440058,0.155026316294372
0.941,0.969,0.934,0.157151028498392,0.166926310798173,0.158578077518747
0.939,0.939,0.908,0.159122089025908,0.168971420233142,0.160680941352451
0.959,0.959,0.953,0.162110973351893,0.172076849600683,0.163876452345803
0.964,0.971,0.953,0.16441848317491,0.174472897393823,0.166341200763196
0.952,0.963,0.941,0.166480619847018,0.176611153961326,0.168539085532856
0.959,0.963,0.946,0.16811167709438,0.178302600757619,0.170277810493616
0.95,0.961,0.945,0.171130686013064,0.181430891170293,0.173492151144198
0.945,0.964,0.932,0.172493026986912,0.1828418461712,0.174941534567857
0.935,0.966,0.93,0.173741162535228,0.184134283500378,0.17626903948704
0.932,0.955,0.943,0.175922282212234,0.186391740973348,0.178587156966707
0.964,0.964,0.952,0.177354427010271,0.187873652563613,0.180108693533793
0.962,0.962,0.946,0.179017747961121,0.189594628827882,0.181875608013184
0.956,0.956,0.94,0.180434932303428,0.191060413315503,0.183380232116946
0.95,0.95,0.939,0.181517496972213,0.192179886775992,0.184529249638303
0.948,0.948,0.931,0.18301390235745,0.193727036039366,0.186117081005455
0.952,0.961,0.941,0.184003947554249,0.194750595308245,0.18716752164798
0.952,0.962,0.933,0.184732895172938,0.195503811658391,0.187940298068251
0.956,0.971,0.937,0.186145112641201,0.196963243030017,0.189437735788719
0.952,0.963,0.938,0.186717401223878,0.197554438264226,0.190044203558715
0.953,0.959,0.953,0.187552332150261,0.198416967993816,0.19092902371936
0.949,0.972,0.949,0.188299841917941,0.199189149813729,0.191721140803506
0.958,0.978,0.958,0.188989457386628,0.19990142852088,0.192451755016965
0.94,0.96,0.94,0.189649111796564,0.200582722004667,0.193150564806351
0.949,0.97,0.949,0.190097731618211,0.201045957420944,0.193625655392739
0.943,0.972,0.943,0.190527487603738,0.201489752111125,0.194080828182975
0.946,0.966,0.946,0.190775502688611,0.20174578142202,0.194343373979919
0.936,0.962,0.936,0.191023861490337,0.202002257684432,0.194606428233656
0.944,0.967,0.944,0.191308433164687,0.202296066388605,0.194907737618252
0.949,0.969,0.949,0.191395764115919,0.202386217996032,0.195000183077001
0.946,0.967,0.946,0.191432425080465,0.202424061427154,0.195038988531327
0.945,0.964,0.945,0.191376981792584,0.202366841353137,0.194980320104772
0.942,0.97,0.942,0.191223786861956,0.202208664440587,0.194818099996547
0.944,0.964,0.944,0.190971118648919,0.201947766181739,0.194550525685803
0.938,0.954,0.938,0.190778448912526,0.201748845852432,0.194346528943148
0.952,0.973,0.952,0.19048476993715,0.201445646017288,0.194035595096338
0.937,0.956,0.937,0.190047022552459,0.200993557921538,0.19357189396047
0.953,0.976,0.953,0.189352759316336,0.200276670432303,0.192836656726314
0.947,0.968,0.947,0.189025287541623,0.199938452356781,0.192489740745494
0.944,0.964,0.944,0.188372882631925,0.199264565296102,0.191798483729902
0.948,0.959,0.948,0.187798325023285,0.19867121370535,0.191189906095327
0.948,0.956,0.931,0.186850937755966,0.197692406050915,0.190185746202799
0.937,0.943,0.916,0.185915185098231,0.196725443922777,0.189193643322028
