"","p","variable","value"
"131",0.32,"axact",0.189293605941558
"132",0.33,"axact",0.190735553350294
"133",0.34,"axact",0.192196240845731
"134",0.35,"axact",0.193310295958585
"135",0.36,"axact",0.194673530611704
"136",0.37,"axact",0.195613140473583
"137",0.38,"axact",0.196930930405689
"138",0.39,"axact",0.197725260553912
"139",0.4,"axact",0.198573215798945
"140",0.41,"axact",0.199181630618758
"141",0.42,"axact",0.199940643002104
"142",0.43,"axact",0.200468878576873
"143",0.44,"axact",0.201094041683912
"144",0.45,"axact",0.201496643706091
"145",0.46,"axact",0.201683148377405
"146",0.47,"axact",0.201988868770517
"147",0.48,"axact",0.202315693036199
"148",0.49,"axact",0.202362721030932
"149",0.5,"axact",0.202408400201403
"150",0.51,"axact",0.202405114559615
"151",0.52,"axact",0.202223827863604
"152",0.53,"axact",0.202110545738077
"153",0.54,"axact",0.201780106791316
"154",0.55,"axact",0.2013803395166
"155",0.56,"axact",0.201046219151423
"156",0.57,"axact",0.200513022090158
"157",0.58,"axact",0.199980415097221
"158",0.59,"axact",0.199052522189033
"159",0.6,"axact",0.198708113637297
"160",0.61,"axact",0.197753733744231
"161",0.62,"axact",0.196598403011363
"162",0.63,"axact",0.195534950696201
"163",0.64,"axact",0.195045895450688
"164",0.65,"axact",0.193688974268404
"165",0.66,"axact",0.192298647483223
"166",0.67,"axact",0.19090705174083
"167",0.68,"axact",0.189925260472415
"168",0.69,"axact",0.188011460261866
"169",0.7,"axact",0.186311627812002
"170",0.71,"axact",0.184341569010244
"171",0.72,"axact",0.182475711435782
"172",0.73,"axact",0.180894042261114
"173",0.74,"axact",0.179202537760296
"174",0.75,"axact",0.176216795393258
"175",0.76,"axact",0.17437527268736
"176",0.77,"axact",0.172485139905808
"177",0.78,"axact",0.169164730315612
"178",0.79,"axact",0.166463361294316
"179",0.8,"axact",0.164634062519733
"180",0.81,"axact",0.160949252184653
"181",0.82,"axact",0.158277000730751
"182",0.83,"axact",0.154286186187853
"183",0.84,"axact",0.150562616128878
"184",0.85,"axact",0.147882237439711
"185",0.86,"axact",0.14361242471814
"186",0.87,"axact",0.138775107963612
"187",0.88,"axact",0.135202912523149
"188",0.89,"axact",0.13091621173146
"189",0.9,"axact",0.125534813519123
"190",0.91,"axact",0.119709156101839
"191",0.92,"axact",0.114968045674178
"192",0.93,"axact",0.108499442317397
"193",0.94,"axact",0.101699122698827
"194",0.95,"axact",0.0953456913821329
"195",0.96,"axact",0.0854766166623438
"196",0.97,"axact",0.0764791671292088
"197",0.98,"axact",0.0656416984793697
"198",0.99,"axact",0.0526319692112479
"199",0.01,"asymp",0.031574446375038
"200",0.02,"asymp",0.0493368495851996
"201",0.03,"asymp",0.0621315482050914
"202",0.04,"asymp",0.0735802023797638
"203",0.05,"asymp",0.0823244548747479
"204",0.06,"asymp",0.0900093514089886
"205",0.07,"asymp",0.0972475537292289
"206",0.08,"asymp",0.10450942928364
"207",0.09,"asymp",0.109445799578383
"208",0.1,"asymp",0.1162007469487
"209",0.11,"asymp",0.120441377617682
"210",0.12,"asymp",0.125894643908352
"211",0.13,"asymp",0.130552508168331
"212",0.14,"asymp",0.134945192071988
"213",0.15,"asymp",0.138677034258486
"214",0.16,"asymp",0.141618898216734
"215",0.17,"asymp",0.145391403737292
"216",0.18,"asymp",0.149585771441378
"217",0.19,"asymp",0.152952891561441
"218",0.2,"asymp",0.155617160328222
"219",0.21,"asymp",0.158384202524901
"220",0.22,"asymp",0.161434515738589
"221",0.23,"asymp",0.163873598339489
"222",0.24,"asymp",0.165778097905763
"223",0.25,"asymp",0.169069760889238
"224",0.26,"asymp",0.170941607891902
"225",0.27,"asymp",0.173132014440916
"226",0.28,"asymp",0.175644045579283
"227",0.29,"asymp",0.176799639592508
"228",0.3,"asymp",0.178998950182021
"229",0.31,"asymp",0.180192688028955
"230",0.32,"asymp",0.181566618363273
"231",0.33,"asymp",0.183046935572498
"232",0.34,"asymp",0.184546290518789
"233",0.35,"asymp",0.18568952668087
"234",0.36,"asymp",0.187088374642643
"235",0.37,"asymp",0.188052556755276
"236",0.38,"asymp",0.18940455316492
"237",0.39,"asymp",0.190219455381155
"238",0.4,"asymp",0.191089373764781
"239",0.41,"asymp",0.191713449872025
"240",0.42,"asymp",0.192491976816789
"241",0.43,"asymp",0.193033797693482
"242",0.44,"asymp",0.193674982421984
"243",0.45,"asymp",0.194087869812302
"244",0.46,"asymp",0.194279152734099
"245",0.47,"asymp",0.194592687275796
"246",0.48,"asymp",0.194927873138553
"247",0.49,"asymp",0.194976085720697
"248",0.5,"asymp",0.195022935089543
"249",0.51,"asymp",0.195019563567918
"250",0.52,"asymp",0.194833648972913
"251",0.53,"asymp",0.19471747071307
"252",0.54,"asymp",0.194378591775308
"253",0.55,"asymp",0.193968600460426
"254",0.56,"asymp",0.193625914651844
"255",0.57,"asymp",0.193079028762398
"256",0.58,"asymp",0.192532771291759
"257",0.59,"asymp",0.191580988596686
"258",0.6,"asymp",0.191227720835987
"259",0.61,"asymp",0.190248664370255
"260",0.62,"asymp",0.189063376160206
"261",0.63,"asymp",0.187972210974157
"262",0.64,"asymp",0.187470474945332
"263",0.65,"asymp",0.186078097139793
"264",0.66,"asymp",0.184651120292018
"265",0.67,"asymp",0.18322307078841
"266",0.68,"asymp",0.182215015818319
"267",0.69,"asymp",0.180250262730403
"268",0.7,"asymp",0.178504839468265
"269",0.71,"asymp",0.176481456622821
"270",0.72,"asymp",0.174565112036054
"271",0.73,"asymp",0.172940267265601
"272",0.74,"asymp",0.17120248394835
"273",0.75,"asymp",0.168133448329923
"274",0.76,"asymp",0.166240251188702
"275",0.77,"asymp",0.16429685834108
"276",0.78,"asymp",0.160880860446974
"277",0.79,"asymp",0.15810204094158
"278",0.8,"asymp",0.15621977596467
"279",0.81,"asymp",0.152423677802334
"280",0.82,"asymp",0.149670881708558
"281",0.83,"asymp",0.145558181270675
"282",0.84,"asymp",0.141715744709782
"283",0.85,"asymp",0.138949186260289
"284",0.86,"asymp",0.134536943487385
"285",0.87,"asymp",0.129535636365706
"286",0.88,"asymp",0.125836346120204
"287",0.89,"asymp",0.121395732658401
"288",0.9,"asymp",0.115805468151325
"289",0.91,"asymp",0.109745875739261
"290",0.92,"asymp",0.10479514282978
"291",0.93,"asymp",0.0980164942629878
"292",0.94,"asymp",0.0908621453994584
"293",0.95,"asymp",0.0840449222483837
"294",0.96,"asymp",0.0732179782359457
"295",0.97,"asymp",0.0630338400563091
"296",0.98,"asymp",0.0495747071775235
"297",0.99,"asymp",0.0303526544479658
