"V1","V2","V3","V4","V5","V6"
0.895,0.997,0.105,0.28915125100573,0.322831294631074,0.0394189640545701
0.98,0.98,0.194,0.300008463021621,0.336314023920608,0.0746955373938042
0.967,0.997,0.259,0.308030639660305,0.346282222687097,0.100623441746344
0.952,0.996,0.313,0.315213065723804,0.355227186022475,0.123458597632075
0.922,0.991,0.369,0.323387929109309,0.365492362322077,0.147952460314103
0.99,0.99,0.498,0.341603145230235,0.38830013508764,0.203845449825373
0.965,0.995,0.487,0.342805253073647,0.38993731473682,0.204541433070314
0.953,0.993,0.57,0.355671856371944,0.406101670037976,0.242785599863517
0.938,0.994,0.607,0.363072852898791,0.41551847775142,0.262547421304615
0.941,0.991,0.638,0.367858554398152,0.421590486321922,0.275848533190563
0.986,0.986,0.693,0.377827901105416,0.434179996165399,0.303624423047617
0.979,0.979,0.725,0.384529360161667,0.442709529557411,0.321407335161988
0.967,0.994,0.748,0.392878066783143,0.453437888874525,0.341240107087868
0.949,0.99,0.764,0.397792806078864,0.459688674522368,0.353480039106543
0.96,0.992,0.796,0.404084268369622,0.467710862827369,0.370232265109222
0.932,0.985,0.822,0.412948943299766,0.479037847762142,0.391915138499682
0.982,0.982,0.803,0.412896561255969,0.479109105533523,0.389003330269314
0.972,0.972,0.836,0.42434434468127,0.4937391447598,0.417100869508999
0.971,0.992,0.822,0.422859486314668,0.491894578017965,0.412093935505531
0.969,0.995,0.893,0.435412613335287,0.507951257863315,0.442931760214817
0.962,0.989,0.891,0.435593956334119,0.508165874951251,0.444023611487315
0.947,0.987,0.9,0.441001226265789,0.515115946139269,0.455438359343729
0.954,0.987,0.919,0.44801140598897,0.524144126255623,0.471368039859722
0.982,0.982,0.909,0.4475549216199,0.523572169185649,0.469595966515152
0.983,0.983,0.921,0.455797640702344,0.534219170633681,0.485996231212267
0.968,0.968,0.926,0.461894581141464,0.542036036400426,0.500440544817667
0.972,0.992,0.93,0.461441509987604,0.541445537202359,0.49964821703387
0.941,0.997,0.941,0.468530667692554,0.550626899332857,0.513771520974628
0.922,0.982,0.767,0.471119209764666,0.553926377157485,0.519477651786433
0.9,0.986,0.828,0.472634163326678,0.556020900062945,0.519452537968057
0.921,0.958,0.873,0.479308609260927,0.564644379273081,0.533659776864545
0.961,0.961,0.843,0.480120028404522,0.565575427771963,0.536430072997516
0.968,0.968,0.882,0.482909880321474,0.569252858275522,0.541952114839652
0.952,0.952,0.864,0.483603743629179,0.57014799314391,0.542465296916912
0.959,0.981,0.881,0.489246526449203,0.577421991189908,0.553506626681698
0.965,0.984,0.894,0.490651043917039,0.579224749072425,0.556728895924821
0.953,0.979,0.889,0.4911081138895,0.579851094664156,0.556582949050777
0.958,0.981,0.904,0.494183569909037,0.583823629821804,0.562681109025179
0.94,0.978,0.895,0.496591170220529,0.586920619095028,0.567590826525411
0.981,0.981,0.886,0.495642375288449,0.585682936337014,0.565916427569418
